Gene,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30
OTOP3,0,1,1,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,2,0,3,1,0,0,2,2,1
OTOR,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,1,2,0
OTOS,0,0,0,0,0,0,0,0,0,0,0,0,1,80,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
OTP,1,1,1,1,0,1,0,7,3,1,1,2,5,4,9,2,0,1,0,3,0,3,0,2,0,1,2,0,3,1
OTUB1,1840,2503,3557,1409,2037,1793,774,169,2186,3261,2110,3564,3,54,111,135,417,4717,1867,3191,204,1813,2761,2451,3204,3507,4272,2465,3130,7347
OTUB2,9,15,0,1,0,2,0,0,3,17,13,0,0,0,1,0,0,33,14,21,0,1,13,5,6,2,5,5,15,6
OTUD1,3194,1336,745,67,104,1704,241,111,620,2503,958,669,12,145,55,0,42,1911,2207,666,156,503,1142,1614,984,1162,1725,942,589,510
OTUD3,578,696,203,0,35,254,36,11,143,477,411,153,10,6,16,2,1,268,633,168,165,0,614,407,122,401,389,380,123,280
OTUD4,2598,1825,212,86,45,524,27,6,212,1186,665,100,7,3,10,0,1,557,1427,674,1,203,1687,1650,907,827,1088,890,211,677
OTUD5,4774,6103,6616,2068,2001,3359,1375,375,3982,6876,4059,6271,389,204,438,1363,408,5017,3194,4902,991,5533,4132,6123,4794,8573,8385,5322,6673,9364
OTUD6A,0,1,0,3,5,2,0,1,1,0,1,0,0,3,0,1,0,2,1,2,0,1,0,2,0,0,1,6,1,1
OTUD6B,159,109,5,1,0,42,0,16,12,69,58,6,0,2,6,0,0,31,93,124,0,0,143,175,42,71,64,69,13,17
OTUD7A,7,8,0,2,1,3,0,3,1,3,5,1,7,5,7,0,64,3,6,6,0,1,10,5,7,6,8,9,3,4
OTUD7B,229,244,321,21,41,129,16,47,128,170,307,172,51,69,3,46,9,354,207,72,215,218,294,170,52,201,204,149,94,147
OTX1,13,82,71,43,3,0,19,1,31,96,60,48,5,2,8,0,5,41,19,111,0,75,21,298,13,71,228,44,126,9
OTX2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,3,0,2,1,0
OTX2-AS1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
OVCA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVCH1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,0,0,4,8,5,11,11,6,0,0
OVCH1-AS1,76,60,0,0,0,0,1,1,0,0,4,8,2,0,0,0,0,3,0,4,0,1,26,5,0,1,2,32,0,1
OVCH2,0,0,0,0,0,1,0,3,0,0,1,0,0,6,3,3,2,0,0,3,0,1,0,0,1,0,1,3,0,0
OVGP1,348,313,13,78,42,394,34,0,85,215,91,78,0,0,0,0,0,146,149,135,0,294,195,146,51,141,281,123,144,433
OVOL1,23,5,0,2,0,35,0,0,4,31,4,2,25,3,4,0,1,7,13,5,0,3,8,18,4,7,23,14,10,10
OVOL2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0
OVOL3,1,0,0,1,1,1,0,0,0,0,3,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,2,0,3
OXA1L,4131,3990,3104,869,868,2439,495,0,2010,4323,2056,1485,2,16,73,13,0,3999,2740,4613,713,2820,3755,2714,2043,2335,3704,2157,2547,8789
OXCT1,688,814,169,25,45,251,34,2,102,491,413,82,1,119,8,0,59,420,590,441,628,257,564,360,155,306,315,287,105,479
OXCT1-AS1,0,0,0,0,1,11,0,14,1,0,0,0,2,1,1,0,0,5,0,0,0,0,2,1,0,5,0,1,0,0
OXCT2,8,6,0,1,0,18,0,1,17,2,3,9,1,0,0,0,0,8,8,0,0,2,6,11,0,0,8,8,10,1
OXCT2P1,3,0,0,1,0,2,0,0,0,1,3,5,1,0,0,0,0,11,0,0,0,1,3,2,0,1,3,1,5,2
OXER1,169,244,394,687,345,235,237,1,341,1679,252,586,6,0,48,0,1,474,141,603,0,1098,384,706,231,758,665,433,198,165
OXGR1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,5,0,0,2,5,0,0,0,1,3,1
OXLD1,455,298,442,110,200,486,85,12,286,242,476,291,1,0,1,0,7,739,298,347,0,2,327,172,199,394,580,272,108,385
OXNAD1,1409,946,305,19,138,434,99,6,424,407,837,253,0,0,51,29,1,863,765,348,0,617,926,531,443,690,661,376,256,1076
OXR1,622,605,217,4,1,66,15,104,144,640,300,102,69,17,8,1,2,213,530,963,0,118,673,830,206,247,347,288,113,290
OXSM,356,371,127,36,11,323,9,0,24,392,103,39,0,0,2,0,0,81,299,131,0,200,260,203,95,203,206,172,277,197
OXSR1,3123,2694,673,197,169,679,105,45,694,3003,593,618,99,336,295,35,5,1149,2069,1882,76,504,2075,4643,822,1509,1734,1636,1532,1238
OXT,5,1,0,1,14,0,0,0,0,5,8,0,0,0,2,0,0,17,2,8,0,0,8,2,1,3,3,2,2,0
OXTR,37,33,2,0,3,19,15,0,12,23,7,1,4,1,2,0,415,3,24,21,1,92,28,8,24,5,24,16,4,1
P2RX1,2269,2905,2773,1227,1582,1440,623,143,2001,2245,852,2834,73,112,62,2,0,1613,1703,3368,233,3404,1553,5372,1918,3249,5617,3463,1284,2732
P2RX2,2,1,0,1,1,0,0,0,0,0,0,1,5,3,1,2,0,1,0,1,0,1,5,0,1,6,1,5,0,1
P2RX3,0,0,0,0,0,1,0,1,3,0,0,1,0,0,1,12,0,1,1,1,1,2,0,0,0,2,0,2,1,3
P2RX4,1091,867,1006,365,481,861,157,141,459,1137,530,751,0,10,45,337,7,1113,655,949,3,1056,752,546,815,654,968,452,740,1716
P2RX5,1056,938,1327,278,454,1168,320,0,398,947,887,949,13,0,23,1,189,1250,462,399,2,676,425,426,427,849,1451,575,712,999
P2RX5-TAX1BP3,19,17,25,4,1,0,0,0,9,29,43,19,0,3,1,0,0,22,20,15,0,178,13,16,7,33,28,20,15,20
P2RX6,9,10,30,0,11,54,6,1,0,13,33,13,2,39,1,0,0,2,6,11,0,3,12,10,3,14,16,12,5,4
P2RX6P,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0
P2RX7,742,483,298,964,768,387,68,89,177,936,369,116,28,1,33,594,1748,605,293,623,0,274,545,470,549,268,788,314,211,798
P2RY1,32,12,38,5,0,0,2,2,0,14,13,8,0,1,9,2,0,30,32,44,1,1,50,50,26,13,22,23,3,12
P2RY10,1007,859,353,44,34,200,65,14,148,728,427,163,0,0,0,0,0,537,583,522,0,848,493,379,299,358,378,333,253,527
P2RY11,208,181,153,152,187,216,47,104,110,271,230,271,9,40,20,1,1,264,249,197,0,3,175,80,18,159,224,123,222,209
P2RY12,23,41,2,27,0,50,0,0,15,61,30,18,0,0,0,0,0,34,51,115,69,125,51,53,61,17,36,52,26,6
P2RY13,1894,1852,1127,745,458,27,321,0,743,2646,456,1265,85,16,20,0,0,344,945,5751,0,2192,2115,6387,6043,1611,1085,1910,863,838
P2RY14,138,170,295,28,21,52,30,0,35,794,174,112,0,0,0,1,0,87,204,260,0,370,184,318,13307,246,123,124,38,49
P2RY2,154,230,364,50,20,218,37,2,164,468,121,110,0,30,1,0,1,387,153,107,0,107,139,213,128,297,448,207,81,503
P2RY4,4,4,2,0,0,0,0,0,0,0,1,0,0,0,15,1,0,0,1,5,0,0,0,0,0,4,6,8,0,8
P2RY6,19,13,116,55,12,93,26,0,22,175,23,67,0,8,0,0,0,154,20,31,0,156,27,30,79,104,90,41,28,108
P2RY8,3825,4517,3941,692,715,1879,643,253,2541,3949,3069,2475,145,236,253,284,1291,7135,3779,2439,444,5770,3592,2281,1108,3016,4176,2123,2270,6100
P4HA1,507,444,207,1,21,23,39,34,197,485,217,95,3,0,21,1,0,294,327,663,1,267,509,503,362,310,447,226,106,207
P4HA2,24,23,2,58,4,2,1,24,11,34,6,6,1,2,17,5,0,28,9,46,0,4,22,65,12,65,71,49,15,51
P4HA2-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P4HA3,1,2,1,4,1,0,0,1,2,1,2,0,0,0,0,0,0,0,0,5,0,2,0,4,1,0,0,4,0,3
P4HB,9780,10529,8254,1985,3497,4213,1646,560,7833,17909,4795,9308,563,650,629,1494,961,14088,6148,11741,628,13813,11537,10266,5607,10962,12737,9554,12219,24830
P4HTM,1294,1221,615,41,163,595,83,257,454,719,808,591,2105,239,263,59,60,865,748,1009,0,339,1191,642,255,967,1100,605,694,1273
PA2G4,1448,1365,1417,1027,1267,1149,285,15,1032,2258,1259,1520,0,104,73,1546,559,2747,1339,1531,0,2215,1568,961,824,1520,1797,964,1689,3715
PA2G4P1,29,10,14,0,0,9,1,0,1,14,26,3,0,0,0,2,0,46,5,4,0,4,19,9,13,14,28,5,7,37
PA2G4P2,28,24,18,1,9,6,6,0,12,29,34,2,0,0,0,0,0,49,8,18,0,27,30,17,17,21,33,5,14,117
PA2G4P3,2,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0,2,1,0,2,0,0,3
PA2G4P4,172,162,128,5,20,21,8,9,36,109,101,110,0,0,2,17,0,194,34,24,0,147,117,77,61,74,144,46,76,346
PAAF1,147,204,135,88,86,239,35,0,93,241,106,86,0,1,0,0,49,270,124,186,54,180,182,95,70,101,147,108,67,197
PABPC1,47688,41060,20437,3492,4126,22450,3285,1903,17254,59708,19074,17333,764,1133,1456,904,1488,40133,28145,30919,4570,34117,36133,39511,20989,30695,34090,26545,33796,60613
PABPC1L,2205,1814,1254,396,369,1148,235,30,807,1432,1559,1019,39,51,155,240,128,1173,934,1049,23,1248,1352,1780,881,2183,3335,1114,746,1006
PABPC1L2A,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0
PABPC1L2B,1,1,1,0,0,2,0,3,0,0,1,0,1,1,2,0,0,0,2,0,0,0,0,1,0,0,0,1,1,1
PABPC1P1,126,93,61,0,2,60,30,0,40,44,91,63,0,0,0,0,0,193,44,56,1,28,74,84,76,103,125,30,28,118
PABPC1P10,3,3,1,0,1,0,0,0,0,0,11,1,4,0,1,0,0,3,9,5,0,3,10,6,1,0,4,3,3,3
PABPC1P11,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0
PABPC1P12,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1
PABPC1P13,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1
PABPC1P2,18,4,2,1,0,0,0,0,2,2,3,0,0,2,0,0,1,10,1,7,0,4,6,10,1,3,1,2,4,3
PABPC1P3,532,469,275,11,33,118,69,0,105,243,219,201,0,0,0,0,6,142,85,79,7,21,291,400,254,426,503,101,141,536
PABPC1P4,1812,1104,682,33,51,367,94,12,283,850,765,335,0,12,25,0,0,1097,335,248,34,237,799,1013,771,1026,1319,432,530,1803
PABPC1P5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,1,0
PABPC1P6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
PABPC1P7,18,5,1,0,2,1,0,0,0,4,0,0,0,0,0,0,0,1,1,1,0,2,1,2,0,3,2,2,1,2
PABPC1P8,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,2,0,1,0,0,0,0,1,0
PABPC1P9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
PABPC3,2921,1791,797,68,57,465,115,53,285,1260,1194,643,4,2,10,6,8,1522,586,464,35,358,1489,2096,1051,1381,1756,596,731,2956
PABPC4,4787,3459,2328,1772,1296,3642,458,599,1597,5612,2369,1819,87,334,229,2702,2104,4913,3244,3022,349,2448,3706,2402,1255,2795,4140,2459,3370,5421
PABPC4L,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,4,1,1,1,1,0,2,1,2
PABPC5,1,2,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0
PABPC5-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PABPN1,1622,1950,1176,1942,3177,1466,283,91,1307,1640,2014,3124,99,186,145,604,508,2078,1668,1874,724,1183,2121,2348,812,2340,3022,2507,1754,1750
PABPN1L,10,17,48,10,25,1,9,191,28,14,21,54,0,0,5,0,0,25,24,35,0,0,16,26,3,65,54,38,19,7
PACRG,0,8,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,14,3,3,0,1,2,1,0,0,0,5,0,2
PACRGL,82,71,3,0,0,38,0,0,26,94,28,0,0,0,12,44,0,82,80,104,0,0,75,33,26,34,41,32,17,29
PACS1,9799,10886,10274,4182,5866,5083,2274,553,6887,11763,5757,10760,646,728,927,2407,1266,13078,6468,7969,1805,13794,7802,10872,6641,14850,18445,11636,13923,12880
PACS2,1930,1893,2032,147,527,1444,224,139,985,1704,1783,1119,75,86,84,392,11,2151,1554,2123,502,1508,1844,1154,322,1594,2339,1231,1667,1740
PACSIN1,84,165,155,53,40,45,10,2,58,94,78,62,4,10,7,0,3,84,110,90,65,157,151,66,27,197,136,105,196,234
PACSIN2,5054,4442,5588,1724,1475,1781,1577,220,4043,9199,2278,5755,220,437,600,251,2,3705,2280,9380,0,7165,4041,11173,4831,7153,7540,4540,6740,6418
PACSIN3,5,3,1,36,1,0,0,1,1,0,1,13,6,0,2,0,0,2,6,5,0,1,1,5,0,1,1,4,3,5
PADI1,2,1,1,2,0,0,0,0,0,0,0,2,0,7,0,0,0,1,0,1,1,4,0,2,1,0,2,1,0,1
PADI2,6450,5270,2544,5165,2025,361,684,89,4874,9834,1536,5505,94,258,314,204,3,2243,1937,9342,5,3923,2168,22371,15782,11714,20828,6903,9625,16011
PADI3,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,2,0,0,2,0,3,1,2,0,4,0,1,0,1
PADI4,6141,5188,3896,2462,2515,957,1498,130,3777,8529,2103,4449,146,405,314,154,264,1820,1508,5506,38,3940,4916,16136,4282,6143,17010,7073,3740,4439
PADI6,4,43,0,0,8,0,0,0,24,18,33,0,0,0,0,1,1,15,27,0,3,2,42,4,0,10,14,60,29,2
PAEP,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,2,0
PAF1,4804,4182,3416,2227,1563,3080,749,494,2811,5819,3444,4856,51,393,285,347,280,4773,2765,2823,469,4955,3516,4465,8093,5834,5408,3888,4567,4178
PAFAH1B1,3184,2819,1833,339,317,1085,431,477,1356,3507,1441,1303,78,98,181,122,14,1828,2517,3718,204,2214,2756,4264,3336,2276,2704,1747,1129,4346
PAFAH1B2,856,1063,409,904,689,475,177,0,468,1981,371,529,11,127,38,122,1,673,824,816,50,55,826,1752,999,870,928,822,421,1059
PAFAH1B3,293,245,299,275,290,316,106,0,161,563,385,444,2,0,21,305,0,680,249,369,0,278,256,199,147,270,366,204,366,944
PAFAH2,752,729,400,114,333,258,107,0,295,1290,452,264,74,0,32,1,1,681,528,392,0,574,693,343,163,539,562,418,281,872
PAG1,5636,4969,1594,991,903,946,239,224,667,3605,1846,963,152,373,458,655,15,1746,4259,3296,198,1250,3417,5187,1979,2475,3687,2311,1243,2895
PAGE1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PAGE2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PAGE2B,1,8,0,0,0,27,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,5,1,1,1,2,3,1,7
PAGE3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
PAGE4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1
PAGE5,3,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,0,1
PAGR1,462,474,624,327,406,160,132,282,541,735,607,861,29,104,74,45,1,953,526,927,0,1479,656,472,318,521,626,441,428,467
PAH,0,3,0,1,1,2,1,0,0,0,0,0,1,0,2,0,0,0,2,7,0,0,3,0,2,1,2,1,0,1
PAICS,324,319,162,83,26,155,32,0,125,411,102,111,1,0,0,1,1,273,361,360,185,140,338,228,148,126,151,123,215,461
PAICSP1,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,2,2,0,0,0,3,4
PAICSP2,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
PAICSP3,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,4,0,0
PAICSP4,26,38,5,2,1,1,0,0,5,11,25,11,0,0,0,0,0,46,11,5,0,20,14,20,15,10,13,4,7,41
PAICSP5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAICSP6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PAICSP7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAIP1,433,493,131,34,42,187,18,0,83,724,162,122,14,0,5,0,0,213,282,437,22,105,490,438,248,186,235,226,138,360
PAIP1P1,67,61,90,0,0,0,2,0,10,11,20,7,0,0,9,0,0,0,31,14,0,0,13,47,22,35,29,56,9,25
PAIP2,2837,2402,1066,857,410,886,219,40,1179,2939,690,1473,0,16,44,0,37,1102,1835,4530,66,1898,2287,4403,4421,1700,2098,1429,774,1840
PAIP2B,158,105,22,70,19,33,0,1,41,57,123,9,1,0,0,0,34,104,121,76,196,1,134,72,43,111,105,62,42,25
PAK1,5174,4685,4769,2511,1444,1260,1348,145,3540,11838,2464,4562,16,316,335,303,3,2910,2822,9051,282,7816,5131,12016,16735,8070,7654,4857,5203,5512
PAK1IP1,167,131,45,53,9,102,7,0,49,299,92,28,0,0,0,0,173,75,103,130,0,1,164,100,41,38,50,56,69,82
PAK2,3530,4431,1821,507,544,452,320,109,1465,5479,996,1190,70,56,135,188,13,1587,3016,6208,1,2174,3904,7686,4261,3116,4112,3208,1954,3048
PAK3,22,36,0,4,6,1,0,0,8,16,7,6,0,5,1,0,1,1,8,11,1,4,10,3,5,8,34,11,1,5
PAK4,229,246,290,10,28,297,87,4,110,254,283,235,16,3,13,8,0,506,260,319,137,499,266,143,69,260,268,150,153,423
PAK6,23,26,75,4,2,0,9,1,16,39,10,16,3,41,2,0,0,75,21,3,0,1,26,17,4,10,16,9,8,5
PAK7,0,0,0,3,2,2,0,0,4,2,0,1,1,0,1,0,1,1,2,1,0,1,0,1,0,0,0,1,1,0
PALB2,188,175,63,0,6,0,12,0,34,175,100,12,4,0,2,0,0,52,186,163,1,0,196,139,51,77,103,105,26,98
PALD1,23,23,1,0,18,58,9,0,23,16,37,2,2,9,14,0,464,78,30,22,0,1,34,17,4,23,49,27,21,72
PALLD,293,276,184,5,3,21,12,0,155,182,145,75,2,4,30,0,0,145,166,234,0,285,362,438,195,329,132,276,91,109
PALM,3,5,1,1,26,1,0,0,35,18,1,69,7,2,5,1,1,5,42,18,1,0,10,4,7,5,4,9,19,2
PALM2,0,2,2,16,7,1,0,1,3,0,0,2,0,3,2,1,3,0,2,1,0,4,0,3,4,2,2,1,0,0
PALM2-AKAP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PALM3,1,1,1,2,1,0,0,33,1,1,0,7,21,34,49,3,2,2,1,4,1,7,0,3,1,0,1,4,1,2
PALMD,2,2,0,1,0,4,0,0,1,0,0,2,0,1,0,0,0,0,0,2,1,1,0,0,1,0,2,3,3,2
PAM,771,517,228,6,56,73,19,5,252,984,242,57,5,10,14,9,0,368,327,1182,0,503,527,1256,549,220,677,459,134,605
PAM16,260,277,180,115,70,133,31,0,157,232,140,239,0,0,15,1,0,83,97,124,0,13,129,191,46,312,397,166,90,104
PAMR1,2,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,2,0,1,0,2
PAN2,3717,3152,1248,19,126,1634,112,68,536,1723,1827,415,30,69,33,1,100,1553,2041,2118,0,945,3522,2158,725,1715,2618,1648,1384,2373
PAN3,3019,2949,458,83,82,677,82,100,564,1819,910,575,150,17,116,3,6,489,2309,2891,262,446,2829,5280,1574,2152,2395,1735,575,1502
PAN3-AS1,47,30,5,0,0,65,4,0,9,19,16,5,0,1,4,0,0,36,34,54,0,0,38,28,17,34,29,26,10,10
PANK1,24,18,0,2,0,22,0,2,9,31,7,3,2,2,2,0,1,27,17,19,0,1,26,20,1,6,20,8,3,6
PANK2,1094,1481,1273,2350,1136,453,238,148,784,2770,707,921,89,267,257,2325,493,1097,896,1711,166,710,1274,2244,2638,1029,1309,907,999,1187
PANK3,1262,816,76,3,6,86,18,24,131,395,252,88,70,24,20,1,9,127,767,866,2,214,811,846,191,295,410,370,107,348
PANK4,991,701,1006,0,80,305,178,734,605,1154,1157,576,127,63,155,58,0,1168,771,887,0,599,1018,988,434,873,1058,513,616,1445
PANX1,455,402,57,18,15,83,44,2,69,199,247,104,5,21,11,0,1,317,274,281,0,188,408,439,155,193,181,217,242,362
PANX2,576,592,515,441,361,88,197,28,866,744,329,1851,82,136,84,78,1,168,275,1601,4,1196,539,1753,447,1427,1730,1055,521,434
PANX3,1,2,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1
PAOX,190,169,225,110,40,247,33,4,122,260,338,232,25,7,0,0,4,346,203,152,0,496,188,157,77,228,241,104,135,93
PAPD4,1663,1530,151,14,24,297,28,2,358,1111,784,175,32,0,66,1,0,437,1266,1453,0,1,1496,1991,986,887,1269,841,242,909
PAPD5,1080,1354,141,30,98,139,34,0,198,660,385,283,8,2,17,4,227,230,907,709,1,141,887,1351,522,592,669,632,337,945
PAPD7,2891,2573,421,24,40,1114,138,16,544,1612,861,343,146,28,35,0,58,1000,1713,993,8,353,1599,1896,791,1472,1824,1383,720,1577
PAPL,8,1,1,0,1,0,1,0,0,7,0,2,0,0,2,0,0,0,1,2,0,1,1,0,0,7,8,4,1,2
PAPLN,17,40,2,1,25,9,4,2,6,29,6,1,2,2,4,0,0,32,30,43,1,3,36,25,7,17,40,23,10,27
PAPOLA,3956,4233,1146,215,374,376,224,0,1266,4705,1254,1065,25,36,122,40,0,1344,3072,5537,202,2545,4427,7482,4709,2078,2641,2431,1025,1992
PAPOLB,62,45,36,5,1,5,1,0,13,37,25,8,4,4,1,0,0,15,10,9,0,17,47,129,116,51,80,12,12,45
PAPOLG,676,795,110,13,31,206,17,53,149,720,304,114,1,2,12,0,2,356,552,680,0,53,684,719,317,243,344,405,173,272
PAPPA,7,3,0,5,2,4,0,4,0,0,2,4,4,1,2,0,1,3,3,6,1,4,1,2,1,2,0,5,1,5
PAPPA-AS1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,1,1,0,0,2,0,0,1,0,2,0,0
PAPPA-AS2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
PAPPA2,12,3,0,3,0,0,0,153,1,1,1,0,2,3,2,0,2,1,1,6,1,2,1,11,7,3,1,3,1,4
PAPSS1,1108,1262,538,4,50,244,85,89,216,2304,325,334,1,55,56,0,0,457,520,2678,0,105,1191,1880,6002,736,419,509,773,733
PAPSS2,75,107,7,0,49,46,15,0,30,103,24,34,3,3,0,0,1,60,103,202,99,0,95,115,40,27,77,40,44,68
PAQR3,621,325,32,2,5,52,25,57,29,209,137,79,0,36,15,35,0,83,230,149,0,1,400,256,111,160,182,166,57,139
PAQR4,77,56,75,0,37,36,33,23,178,163,74,254,10,5,7,4,0,244,177,401,1,117,119,144,33,89,165,133,93,506
PAQR5,3,16,2,6,0,2,0,0,0,1,0,0,0,0,0,1,3,5,4,7,0,2,5,4,3,1,2,4,1,4
PAQR6,117,310,245,2,19,63,49,24,187,333,159,191,3,12,31,0,0,119,150,262,0,1,286,142,38,557,265,238,257,232
PAQR7,102,102,218,61,39,130,24,0,114,418,103,123,0,148,2,244,0,384,203,241,0,596,127,126,46,133,162,148,236,598
PAQR8,148,187,204,74,20,65,22,91,94,377,204,193,7,1,1,0,4,331,243,406,0,258,285,185,126,119,146,125,188,84
PAQR9,0,0,0,1,0,0,0,0,0,0,0,2,0,2,1,0,1,1,1,0,0,0,0,3,0,1,0,2,1,7
PARD3,57,48,61,67,90,6,11,0,44,65,27,45,5,3,12,3,1,122,68,76,0,1,38,82,48,26,88,110,43,40
PARD3-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PARD3B,19,12,0,1,0,0,1,0,0,0,8,1,2,1,2,0,0,1,14,2,0,0,10,12,5,13,18,17,6,4
PARD6A,109,95,45,10,99,118,50,0,58,167,109,168,4,1,9,0,0,253,86,134,0,2,81,76,53,124,134,69,123,121
PARD6B,32,37,10,0,1,27,2,4,1,33,38,24,2,0,0,1,0,21,36,11,0,1,41,33,11,19,15,28,5,9
PARD6G,16,28,3,48,15,3,2,0,9,15,15,7,12,4,13,14,6,88,17,9,1,279,19,6,9,10,6,11,22,102
PARG,251,246,132,0,5,100,10,0,94,230,146,102,1,37,0,29,0,50,147,145,0,0,214,211,152,91,140,102,61,54
PARGP1,114,90,3,51,0,53,1,5,40,44,63,4,2,2,1,0,1,45,57,21,0,0,96,68,39,82,85,32,35,34
PARK2,43,20,19,10,19,0,4,0,4,40,21,1,0,0,4,35,2,50,20,7,0,1,28,6,8,28,34,9,5,29
PARK7,2283,1865,2423,2296,875,1826,680,3,2026,3229,1227,1804,2,0,16,4,3,3778,1534,2638,18,2261,1481,1479,1627,1122,1673,1222,1194,3247
PARL,660,690,303,168,175,315,99,135,416,924,297,286,0,71,4,8,10,878,481,789,0,687,548,553,581,389,603,374,519,1055
PARM1,81,67,34,1,20,106,29,0,21,107,106,3,1,0,1,0,0,246,116,231,5,199,79,78,31,72,78,87,65,83
PARN,1008,1015,731,78,89,424,76,72,528,1282,415,365,372,73,213,13,14,633,673,821,419,523,936,857,596,550,732,561,421,618
PARP1,2142,1723,1497,170,158,961,220,143,673,2118,1757,555,45,139,117,355,35,3001,1979,2045,130,2431,1626,1236,575,1052,1619,955,1038,1318
PARP10,2348,2641,4218,1854,3438,2642,974,1148,2636,3631,5919,8616,109,676,461,1419,634,7733,3459,4043,358,5817,3876,3631,5658,4539,4293,2259,2514,1471
