,T2D_1,T2D_2,T2D_3,T2D_4,T2D_5,HV_1,HV_2,HV_3,HV_4,HV_5
LINC02841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02842,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
LINC02843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02846,1.0,3.0,5.0,4.0,9.0,4.0,6.0,4.0,2.0,6.0
LINC02847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02848,0.0,0.0,2.0,1.0,0.0,5.0,0.0,2.0,0.0,2.0
LINC02849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
LINC02851,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02860,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0
LINC02861,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0
LINC02862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02863,11.0,15.0,19.0,7.0,10.0,87.0,24.0,15.0,7.0,16.0
LINC02864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02865,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02869,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
LINC02870,13.0,0.0,1.0,6.0,4.0,2.0,5.0,14.0,3.0,5.0
LINC02871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02877,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02878,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
LINC02881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02883,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
LINC02884,9.0,9.0,10.0,5.0,16.0,9.0,3.0,3.0,0.0,2.0
LINC02885,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02886,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02887,0.0,1.0,0.0,3.0,17.0,8.0,1.0,2.0,0.0,9.0
LINC02888,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
LINC02889,0.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0
LINC02890,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0
LINC02891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02896,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
LINC02897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02899,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
LINC02900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02901,5.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
LINC02902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02904,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0
LINC02906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02908,56.0,39.0,54.0,9.0,47.0,208.0,120.0,115.0,51.0,65.0
LINC02909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02910,17.0,15.0,15.0,7.0,18.0,26.0,33.0,19.0,8.0,9.0
LINC02911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02912,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02913,0.0,3.0,1.0,0.0,1.0,5.0,8.0,8.0,0.0,4.0
LINC02914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02915,3.0,3.0,2.0,0.0,1.0,4.0,2.0,0.0,0.0,2.0
LINC02916,13.0,8.0,2.0,5.0,5.0,12.0,8.0,16.0,5.0,11.0
LINC02917,0.0,2.0,0.0,1.0,0.0,7.0,4.0,0.0,0.0,0.0
LINC02918,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0
LINC02919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02922,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02924,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
LINC02925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02926,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
LINC02927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02928,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
LINC02929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02930,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02932,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LINC02933,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
LINC02934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02935,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
LINC02936,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
LINC02937,24.0,12.0,9.0,8.0,5.0,23.0,11.0,7.0,8.0,11.0
LINC02938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02939,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,2.0
LINC02940,2.0,0.0,1.0,0.0,5.0,3.0,1.0,1.0,0.0,1.0
LINC02941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02942,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
LINC02943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
LINC02944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02947,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
LINC02948,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0
LINC02949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02951,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
LINC02952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02954,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
LINC02955,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
LINC02956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02957,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02958,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0
LINC02959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02960,7.0,4.0,8.0,2.0,6.0,9.0,2.0,0.0,0.0,0.0
LINC02961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02963,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0
LINC02964,10.0,7.0,10.0,4.0,12.0,22.0,4.0,0.0,0.0,3.0
LINC02965,9.0,1.0,3.0,4.0,8.0,29.0,13.0,0.0,1.0,7.0
LINC02966,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02967,59.0,265.0,53.0,49.0,21.0,160.0,32.0,27.0,7.0,12.0
LINC02968,5.0,0.0,0.0,2.0,2.0,0.0,6.0,0.0,0.0,0.0
LINC02970,2.0,3.0,5.0,0.0,2.0,9.0,2.0,10.0,0.0,1.0
LINC02971,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
LINC02972,639.0,10425.0,2814.0,3632.0,4022.0,6325.0,3203.0,5094.0,2119.0,2270.0
LINC02973,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
LINC02974,7.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
LINC02975,14.0,6.0,16.0,3.0,12.0,49.0,50.0,38.0,3.0,29.0
LINC02976,98.0,62.0,29.0,60.0,61.0,111.0,80.0,21.0,17.0,23.0
LINC02977,22.0,18.0,27.0,4.0,38.0,125.0,69.0,4.0,1.0,42.0
LINC02978,0.0,4.0,3.0,2.0,3.0,4.0,5.0,1.0,2.0,1.0
LINC02979,14.0,5.0,5.0,3.0,4.0,21.0,6.0,11.0,9.0,7.0
LINC02980,56.0,41.0,28.0,56.0,52.0,54.0,29.0,3.0,2.0,7.0
LINC02981,5.0,1.0,1.0,2.0,2.0,5.0,0.0,2.0,1.0,0.0
LINC02982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02983,3.0,0.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,0.0
LINC02984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02985,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
LINC02986,3.0,1.0,5.0,12.0,6.0,2.0,0.0,0.0,0.0,0.0
LINC02987,1.0,0.0,6.0,1.0,7.0,15.0,2.0,0.0,2.0,5.0
LINC02988,8.0,5.0,5.0,11.0,14.0,42.0,22.0,3.0,0.0,10.0
LINC02989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02993,10.0,5.0,4.0,4.0,3.0,5.0,4.0,1.0,0.0,0.0
LINC02994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02995,6.0,2.0,0.0,0.0,1.0,6.0,2.0,1.0,0.0,0.0
LINC02997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LINC03006,9.0,1.0,4.0,1.0,7.0,4.0,4.0,0.0,0.0,2.0
LINC03007,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
LINC03008,2.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,5.0,2.0
LINC03010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03011,6.0,5.0,17.0,2.0,11.0,15.0,12.0,12.0,12.0,2.0
LINC03012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03013,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
LINC03014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03016,4.0,0.0,1.0,0.0,2.0,7.0,0.0,4.0,0.0,3.0
LINC03017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
LINC03019,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
LINC03020,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
LINC03021,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
LINC03022,2.0,2.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0
LINC03023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03025,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
LINC03026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03028,0.0,0.0,0.0,1.0,2.0,7.0,3.0,0.0,0.0,3.0
LINC03031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03032,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03033,11.0,12.0,1.0,37.0,9.0,12.0,3.0,0.0,0.0,0.0
LINC03034,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
LINC03036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03040,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
LINC03041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03044,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0
LINC03046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03047,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
LINC03048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03049,66.0,51.0,56.0,58.0,96.0,116.0,85.0,55.0,66.0,61.0
LINC03050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03052,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
LINC03053,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
LINC03054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03057,0.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,4.0,6.0
LINC03058,10.0,0.0,9.0,2.0,3.0,7.0,0.0,1.0,0.0,1.0
LINC03059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03060,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
LINC03061,1.0,0.0,0.0,0.0,1.0,5.0,6.0,4.0,0.0,3.0
LINC03062,1.0,1.0,3.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0
LINC03064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03066,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03067,3.0,1.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0,4.0
LINC03068,2.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0
LINC03069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03072,19.0,4.0,18.0,13.0,22.0,34.0,24.0,13.0,6.0,7.0
LINC03073,0.0,2.0,0.0,2.0,2.0,2.0,4.0,4.0,0.0,1.0
LINC03074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03076,4.0,2.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0
LINC03077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03078,112.0,38.0,94.0,8.0,32.0,31.0,39.0,797.0,103.0,94.0
LINC03079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03080,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0
LINC03081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC03083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINCADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINCMD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINGO1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINGO1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINGO1-AS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINGO2,11.0,5.0,0.0,2.0,1.0,5.0,2.0,1.0,0.0,0.0
LINGO3,72.0,44.0,62.0,39.0,66.0,284.0,288.0,212.0,111.0,131.0
LINGO4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
LINP1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LINS1,149.0,196.0,54.0,143.0,219.0,349.0,91.0,7.0,0.0,36.0
LIPA,536.0,604.0,394.0,235.0,1010.0,1285.0,669.0,223.0,33.0,351.0
LIPC,8.0,3.0,10.0,5.0,6.0,22.0,8.0,0.0,1.0,7.0
LIPC-AS1,1.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
LIPE,28.0,14.0,16.0,25.0,32.0,49.0,49.0,59.0,59.0,39.0
LIPE-AS1,8.0,0.0,1.0,3.0,7.0,4.0,4.0,0.0,0.0,0.0
LIPF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIPH,0.0,0.0,0.0,0.0,9.0,1.0,4.0,0.0,2.0,0.0
LIPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIPJ,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0
LIPK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIPM,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0
LIPN,23.0,14.0,19.0,8.0,8.0,58.0,42.0,6.0,1.0,5.0
LIPT1,44.0,33.0,28.0,36.0,54.0,46.0,15.0,1.0,0.0,5.0
LIPT1P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIPT2,13.0,14.0,5.0,7.0,5.0,35.0,13.0,7.0,3.0,7.0
LIPT2-AS1,4.0,5.0,1.0,4.0,0.0,4.0,2.0,0.0,0.0,3.0
LITAF,20774.0,11000.0,8092.0,16164.0,7881.0,18454.0,11550.0,9841.0,1859.0,5812.0
LITAFD,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
LIVAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIX1,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
LIX1-AS1,5.0,2.0,11.0,10.0,7.0,1.0,0.0,0.0,0.0,2.0
LIX1L,204.0,168.0,117.0,257.0,320.0,377.0,322.0,107.0,36.0,152.0
LIX1L-AS1,9.0,2.0,1.0,5.0,6.0,7.0,6.0,0.0,0.0,0.0
LKAAEAR1,2.0,1.0,2.0,3.0,7.0,2.0,1.0,7.0,4.0,0.0
LL22NC01-81G9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LL22NC03-63E9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLCFC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLGL1,142.0,77.0,115.0,101.0,218.0,299.0,235.0,262.0,181.0,197.0
LLGL2,371.0,222.0,183.0,263.0,365.0,544.0,224.0,198.0,172.0,204.0
LLPH,267.0,192.0,155.0,235.0,236.0,305.0,85.0,10.0,2.0,37.0
LLPH-DT,1.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,0.0
LLPHP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLPHP2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LLPHP3,8.0,4.0,3.0,3.0,18.0,2.0,5.0,0.0,2.0,5.0
LMAN1,158.0,181.0,90.0,218.0,318.0,310.0,180.0,6.0,3.0,71.0
LMAN1L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMAN2,1033.0,659.0,644.0,575.0,736.0,1632.0,1375.0,2225.0,1114.0,869.0
LMAN2L,37.0,23.0,24.0,27.0,22.0,75.0,36.0,66.0,11.0,24.0
LMBR1,156.0,146.0,72.0,158.0,174.0,226.0,130.0,7.0,10.0,48.0
LMBR1L,512.0,325.0,256.0,490.0,446.0,508.0,227.0,142.0,121.0,124.0
LMBRD1,738.0,463.0,269.0,555.0,476.0,1367.0,499.0,87.0,25.0,189.0
LMBRD2,26.0,29.0,32.0,12.0,86.0,118.0,56.0,4.0,2.0,17.0
LMCD1,3.0,0.0,0.0,4.0,8.0,5.0,2.0,4.0,0.0,1.0
LMCD1-AS1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LMF1,90.0,38.0,46.0,69.0,69.0,109.0,92.0,75.0,84.0,70.0
LMF1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMF2,777.0,336.0,428.0,437.0,625.0,1000.0,763.0,943.0,652.0,357.0
LMLN,9.0,8.0,5.0,13.0,16.0,31.0,16.0,1.0,0.0,3.0
LMLN-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMNA,1865.0,464.0,718.0,1292.0,1500.0,195.0,257.0,238.0,136.0,232.0
LMNB1,725.0,388.0,316.0,370.0,448.0,1514.0,486.0,204.0,38.0,157.0
LMNB1-DT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMNB2,235.0,143.0,164.0,275.0,315.0,255.0,221.0,337.0,179.0,188.0
LMNTD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMNTD2,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
LMNTD2-AS1,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
LMO1,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0
LMO2,495.0,538.0,278.0,488.0,680.0,657.0,367.0,735.0,130.0,247.0
LMO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMO4,227.0,195.0,86.0,224.0,237.0,341.0,137.0,93.0,18.0,68.0
LMO7,53.0,30.0,32.0,43.0,56.0,73.0,24.0,0.0,0.0,7.0
LMO7-AS1,0.0,2.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0
LMO7DN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMO7DN-IT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMOD1,1.0,0.0,17.0,4.0,1.0,4.0,2.0,3.0,0.0,1.0
LMOD2,2.0,2.0,1.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0
LMOD3,5.0,5.0,2.0,4.0,3.0,9.0,2.0,0.0,0.0,0.0
LMTK2,1151.0,1187.0,269.0,913.0,653.0,716.0,624.0,94.0,28.0,236.0
LMTK3,35.0,30.0,30.0,31.0,40.0,65.0,49.0,21.0,21.0,46.0
LMX1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
