Gene,HC1,HC2,HC3,HC4,HC5,T2DM1,T2DM2,T2DM3,T2DM4,T2DM5
MREG,0.24,0.54,0.34,0.52,0.39,0.73,0.36,0.64,0.58,0.55
MRFAP1,38.38,44.07,46.96,29.15,43.84,40.96,33.91,43.12,44.68,44.51
MRFAP1L1,5.31,13.68,19.42,4.91,10.97,13.5,17.83,22.96,16.13,15.63
MRGBP,2.92,4.09,4.3,4.5,4.68,4.58,4.83,3.86,4.55,4.51
MRGPRD,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.04,0.0,0.0
MRGPRE,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.09,0.29
MRGPRF,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
MRGPRX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRGPRX2,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.02
MRGPRX3,0.04,0.04,0.0,0.06,0.07,0.13,0.06,0.19,0.18,0.22
MRGPRX4,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
MRI1,5.54,10.95,14.07,11.86,16.59,15.04,10.72,9.27,11.88,14.65
MRLN,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.09
MRM1,0.2,1.62,1.59,0.93,1.85,2.48,2.08,1.01,1.45,1.32
MRO,0.09,0.06,0.19,0.03,0.11,0.17,0.06,0.07,0.03,0.11
MROH1,5.7,8.66,10.26,8.85,13.18,10.11,8.48,6.48,8.97,7.9
MROH3P,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
MROH5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MROH6,8.93,6.64,4.15,9.57,6.23,5.27,4.45,3.15,8.21,5.58
MROH7,0.3,0.34,0.25,0.2,0.95,0.34,0.45,0.13,0.18,0.24
MROH7-TTC4,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.0
MROH8,0.39,0.77,0.55,1.25,0.65,0.5,0.77,0.65,0.54,1.08
MRP63P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82
MRPL1,0.73,1.6,1.44,1.12,1.17,1.02,4.27,3.92,1.28,1.67
MRPL10,10.48,20.66,27.24,20.0,30.76,26.8,18.2,15.66,19.17,19.81
MRPL11,8.25,15.52,24.6,21.78,25.72,18.89,18.52,20.03,16.05,15.15
MRPL12,7.02,8.77,12.9,12.78,15.5,11.82,16.5,14.58,15.28,9.91
MRPL13,2.65,4.96,5.8,4.4,2.29,4.24,9.73,8.19,5.28,4.3
MRPL14,8.34,12.74,16.07,13.48,21.67,12.06,15.87,11.74,13.05,10.02
MRPL15,4.65,6.22,10.38,6.12,5.44,5.62,10.0,7.01,5.39,5.46
MRPL15P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRPL16,14.92,22.8,28.43,21.5,32.55,22.84,19.39,16.14,19.46,18.88
MRPL17,3.89,10.12,14.08,9.87,15.09,13.87,21.44,19.09,12.17,11.24
MRPL18,14.38,16.55,24.03,19.25,20.31,19.19,20.3,19.35,27.37,18.45
MRPL19,1.05,2.88,4.48,4.79,2.24,2.73,2.55,3.28,2.32,2.73
MRPL2,14.8,19.66,33.63,22.15,39.19,31.34,29.55,23.71,30.81,23.73
MRPL20,20.89,37.22,55.5,40.72,59.33,46.86,43.83,40.54,38.73,48.22
MRPL20P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRPL21,13.27,23.24,30.71,29.37,30.47,20.68,19.98,17.3,18.36,16.69
MRPL22,10.58,12.6,19.83,17.01,16.65,11.2,10.47,12.13,12.49,11.24
MRPL23,11.5,4.4,28.27,25.1,27.96,20.13,19.17,14.43,7.69,6.69
MRPL24,8.11,16.78,30.61,22.4,28.83,20.7,22.99,22.44,21.44,20.73
MRPL27,9.63,13.95,26.04,17.76,28.2,18.45,17.88,14.61,16.42,14.64
MRPL28,42.31,40.0,44.75,50.36,52.46,45.57,41.42,41.64,43.29,34.58
MRPL2P1,0.0,0.04,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.04
MRPL3,10.09,24.37,33.05,21.08,28.32,13.09,21.53,22.85,14.08,16.17
MRPL30,7.0,18.32,19.59,15.22,20.74,14.25,12.48,13.07,11.83,10.36
MRPL32,5.69,10.37,14.62,9.53,13.31,9.49,10.83,11.2,7.29,6.6
MRPL33,26.46,40.49,41.81,30.23,35.43,26.6,28.67,32.82,27.94,24.1
MRPL34,23.48,36.16,59.34,46.33,73.54,50.79,44.56,41.0,48.46,36.55
MRPL35,5.99,9.07,14.55,7.03,13.83,11.07,14.47,11.37,10.26,12.12
MRPL35P3,0.0,0.0,0.54,0.17,0.0,0.19,0.34,0.0,0.0,0.38
MRPL36,6.8,12.41,17.25,15.38,18.89,13.96,20.54,15.33,15.09,12.48
MRPL37,17.19,28.33,43.6,42.87,48.01,31.74,26.32,24.57,28.77,21.13
MRPL37P1,0.47,0.58,0.96,0.73,0.43,0.29,0.52,0.58,0.86,0.81
MRPL38,10.6,22.08,33.8,22.7,39.8,33.56,29.62,27.32,25.7,24.83
MRPL39,0.84,1.93,2.35,2.31,1.6,1.73,3.35,5.21,1.99,2.12
MRPL4,6.73,16.99,20.91,15.21,25.26,17.92,17.61,12.74,14.19,12.6
MRPL40,5.84,9.9,13.72,13.89,14.54,9.99,12.92,11.73,9.23,7.88
MRPL41,5.78,7.7,15.06,10.39,16.24,10.05,12.25,10.57,9.82,8.93
MRPL42,1.46,4.6,4.62,4.36,3.23,3.36,9.39,10.12,5.48,4.27
MRPL43,14.96,25.67,38.6,32.16,37.46,27.79,31.84,29.77,26.67,25.53
MRPL44,8.37,10.19,10.39,12.31,10.16,9.16,8.83,11.13,13.4,9.94
MRPL45,1.23,0.67,3.56,1.26,1.68,2.26,0.53,0.7,0.47,0.92
MRPL46,2.23,6.23,10.01,2.5,8.74,6.27,6.79,7.57,7.65,6.0
MRPL47,3.63,4.15,5.86,6.27,3.19,2.66,8.88,9.39,3.95,5.71
MRPL48,4.7,7.14,9.68,10.8,7.27,6.87,9.17,12.69,6.82,10.67
MRPL49,28.04,41.45,54.94,36.59,67.4,55.28,64.99,52.06,54.63,47.35
MRPL50,0.38,1.11,1.72,0.85,1.25,0.99,3.77,3.86,1.55,1.36
MRPL51,14.24,18.66,29.48,21.43,25.2,16.79,26.59,25.58,25.27,17.84
MRPL52,12.23,15.82,21.26,21.56,33.5,19.97,27.08,18.38,16.65,13.7
MRPL53,9.3,19.76,15.25,19.53,19.95,15.26,20.94,18.0,17.61,12.06
MRPL54,24.76,33.24,43.53,57.04,52.83,36.76,65.09,45.76,53.13,39.44
MRPL55,25.55,32.16,20.33,24.74,26.17,38.75,27.62,29.17,20.8,30.74
MRPL57,2.81,4.81,8.5,5.67,9.7,5.49,4.3,4.77,4.95,3.93
MRPL57P8,0.73,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.37,0.42
MRPL9,7.31,17.12,25.89,20.85,26.15,19.15,24.86,19.77,14.45,17.49
MRPS10,2.63,5.27,7.62,4.86,3.55,4.28,5.31,5.04,4.51,4.36
MRPS11,16.48,26.74,29.33,24.84,36.61,21.48,22.45,17.77,22.7,19.18
MRPS12,3.97,6.62,8.69,7.84,14.11,10.67,10.67,8.15,8.98,6.88
MRPS14,4.58,5.16,7.14,6.67,6.9,7.03,6.31,5.3,5.77,5.06
MRPS15,24.45,34.16,45.75,42.55,48.19,27.42,29.53,26.91,32.8,29.31
MRPS15P1,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0
MRPS15P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0
MRPS16,8.23,11.67,15.21,15.4,19.15,15.14,12.86,10.34,12.75,12.67
MRPS17,1.96,2.88,3.69,2.7,4.12,3.57,3.61,3.83,3.35,3.38
MRPS18A,15.72,24.33,26.92,23.97,32.88,26.3,28.21,27.19,33.1,22.6
MRPS18B,3.52,6.22,10.99,8.41,12.95,10.53,8.51,9.7,10.06,6.74
MRPS18C,3.0,4.7,6.61,3.95,4.17,4.34,6.55,6.91,10.27,4.44
MRPS2,8.14,22.83,39.11,22.65,41.95,28.41,20.29,17.72,25.34,19.68
MRPS21,8.55,17.23,19.81,15.03,19.52,14.85,24.05,24.38,17.35,22.03
MRPS21P9,0.0,0.0,0.45,0.0,0.44,0.0,0.0,0.0,0.0,0.44
MRPS22,5.94,7.96,12.56,7.26,10.55,7.95,11.6,10.59,8.45,9.17
MRPS23,4.27,8.6,11.5,8.04,11.23,8.85,12.42,9.03,6.76,6.95
MRPS24,23.74,43.24,61.93,80.98,76.97,52.64,43.4,47.04,49.1,39.9
MRPS25,7.18,12.94,16.32,11.06,16.3,10.73,11.76,8.69,9.69,9.02
MRPS26,2.76,6.13,8.95,6.03,10.07,6.92,9.89,6.24,6.92,8.24
MRPS27,4.69,10.97,19.15,10.26,15.8,12.06,10.9,12.91,11.39,16.3
MRPS28,5.73,11.46,17.7,12.27,11.37,10.46,15.53,10.74,12.54,11.04
MRPS30,7.74,20.57,25.83,16.84,20.0,12.84,15.1,16.72,16.42,17.88
MRPS31,3.2,3.54,6.08,3.32,3.27,2.46,3.56,5.97,3.33,5.71
MRPS33,6.74,10.37,15.39,14.47,15.05,13.03,17.29,14.68,10.95,11.45
MRPS34,20.6,38.61,59.87,37.66,64.99,46.72,38.86,33.87,32.81,33.55
MRPS35,5.8,13.65,18.01,20.42,20.08,8.87,13.05,13.73,10.67,12.87
MRPS36,0.42,1.33,0.61,1.23,0.86,1.04,1.57,2.7,1.01,0.61
MRPS36P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
MRPS5,15.6,22.76,33.06,18.7,29.26,21.27,17.56,21.37,20.27,19.33
MRPS6,20.69,26.8,28.78,15.01,23.78,22.84,27.02,24.85,27.01,27.1
MRPS7,12.04,17.4,25.0,26.37,26.89,20.79,22.56,20.89,17.7,17.24
MRPS9,1.49,4.58,5.92,2.71,4.62,2.38,3.42,3.56,2.85,3.61
MRRF,3.18,6.31,8.62,6.52,7.88,7.55,8.03,8.95,6.16,6.02
MRRFP1,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
MRS2,2.3,3.1,3.55,3.96,2.86,2.31,3.52,3.35,3.23,3.24
MRTO4,2.06,5.03,8.38,5.36,10.66,7.52,6.47,5.86,6.99,6.49
MRVI1,30.3,15.9,4.87,10.03,4.72,14.44,7.18,9.96,10.46,16.39
MS4A1,2.66,9.4,21.5,4.02,10.47,13.23,55.29,38.69,14.2,23.85
MS4A10,0.27,0.2,0.06,0.03,0.01,0.21,0.1,0.15,0.09,0.18
MS4A14,0.52,0.86,0.6,1.54,1.16,1.1,0.81,1.58,0.81,1.05
MS4A2,0.37,1.2,0.47,1.17,0.82,1.55,2.36,2.2,1.36,2.02
MS4A3,1.78,4.93,5.33,19.31,4.41,9.68,6.45,4.28,10.01,8.74
MS4A4A,4.3,3.52,5.09,4.91,2.63,1.03,2.65,1.3,2.25,0.93
MS4A4E,0.71,0.91,1.26,1.17,1.26,1.93,0.6,0.66,2.31,1.55
MS4A6A,481.66,547.72,412.9,583.61,733.32,291.42,406.59,417.86,423.16,336.95
MS4A6E,0.05,0.0,0.34,0.05,0.11,0.0,0.3,0.17,0.0,0.12
MS4A7,8.64,16.72,26.36,42.37,30.14,21.1,31.84,29.77,19.51,16.57
MSANTD1,0.09,0.25,0.44,0.07,0.27,0.13,0.1,0.2,0.14,0.1
MSANTD2,0.7,1.59,2.23,0.37,1.8,1.44,1.39,1.61,1.53,1.95
MSANTD3,12.32,11.07,15.79,31.62,12.05,11.0,13.01,13.96,13.5,8.83
MSANTD3-TMEFF1,0.44,1.3,1.19,1.73,0.47,0.39,0.91,1.68,1.44,0.39
MSANTD4,0.17,0.94,1.13,0.3,0.65,0.71,1.42,1.31,0.55,1.33
MSC,1.56,2.27,3.88,1.3,3.54,1.87,3.09,4.68,1.67,4.34
MSH2,0.43,0.59,1.58,0.71,1.05,0.77,1.07,1.46,0.67,0.97
MSH3,1.5,1.78,2.26,2.13,1.35,2.46,2.92,1.69,2.27,2.52
MSH4,0.0,0.03,0.07,0.09,0.04,0.05,0.11,0.07,0.01,0.01
MSH5,1.44,3.26,3.74,2.6,3.76,5.11,4.39,2.5,4.43,4.22
MSH5-SAPCD1,0.13,0.33,0.28,0.31,0.21,0.35,0.12,0.69,0.44,0.73
MSH6,3.26,4.42,7.76,3.43,6.05,4.55,4.78,5.2,2.89,4.58
MSI1,0.0,0.07,0.06,0.03,0.14,0.01,0.02,0.0,0.02,0.1
MSI2,10.92,20.19,29.92,27.06,25.84,16.12,18.66,21.01,16.81,22.61
MSL1,328.32,259.12,95.82,115.66,97.24,160.36,81.01,114.99,186.08,213.78
MSL2,17.01,26.38,19.38,15.47,9.06,21.73,14.23,18.82,23.74,26.14
MSL3,64.6,44.65,40.83,26.33,48.64,34.95,37.61,43.64,38.08,36.12
MSLN,0.13,0.26,0.91,0.0,0.07,0.16,0.12,0.0,0.06,0.2
MSMB,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
MSMO1,1.36,2.7,3.46,2.6,1.55,1.94,3.98,3.71,2.6,2.65
MSMP,0.0,0.0,0.38,0.13,0.13,0.15,0.0,0.0,0.0,0.0
MSN,1104.76,1083.97,1135.67,1058.08,1075.51,818.73,535.04,591.38,807.6,807.59
MSNP1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSR1,2.43,1.23,3.91,10.72,3.06,0.52,3.02,5.06,2.99,3.59
MSRA,5.88,5.71,4.43,4.71,4.24,3.98,3.2,2.33,3.14,2.74
MSRB1,477.51,281.04,78.21,97.6,121.73,290.29,178.68,256.86,306.05,276.65
MSRB1P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSRB2,22.77,14.33,12.34,12.73,13.87,10.73,9.39,12.62,8.15,10.25
MSRB3,1.51,1.74,1.47,4.82,0.97,2.12,1.5,2.03,1.72,0.76
MSS51,0.42,0.45,0.43,0.19,0.52,0.33,0.33,0.38,0.2,0.46
MST1,3.84,4.11,6.35,3.75,6.22,9.85,9.22,5.17,5.34,6.04
MST1L,0.04,0.1,0.18,0.07,0.28,0.14,0.1,0.2,0.23,0.33
MST1P2,0.02,0.19,0.15,0.19,0.43,0.3,0.14,0.1,0.2,0.27
MST1R,0.35,0.39,0.5,0.08,0.1,0.34,0.3,0.17,0.14,0.1
MSTN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSTO1,7.02,13.01,12.31,7.39,15.62,15.83,16.89,15.98,11.22,16.51
MSTRG.10,0.0,0.0,0.6,0.0,1.33,0.0,0.0,0.0,0.54,0.0
MSTRG.100,0.27,0.0,0.0,0.0,0.05,0.0,0.22,0.85,0.0,0.66
MSTRG.1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSTRG.1002,0.0,1.24,0.0,1.37,0.0,0.0,0.0,0.37,0.66,0.0
MSTRG.1007,1.52,1.13,0.62,0.0,0.68,0.0,1.2,2.17,2.67,3.84
MSTRG.1008,6.0,7.85,5.43,5.06,8.05,6.29,4.07,6.69,2.95,4.2
MSTRG.10081,3.1,1.62,0.18,0.69,0.0,1.51,0.64,1.2,0.68,2.72
MSTRG.101,132.36,102.76,54.51,8.57,386.48,58.4,58.47,62.73,272.57,11.25
MSTRG.1011,3.23,1.23,0.16,1.53,0.17,7.35,5.35,35.53,9.42,14.16
MSTRG.1012,3.1,7.7,7.08,6.07,9.87,7.57,7.02,7.31,7.64,5.51
MSTRG.1013,42.58,41.98,40.16,31.39,33.81,45.11,25.0,26.4,35.81,44.48
MSTRG.1014,0.0,0.82,0.58,0.0,0.83,1.32,0.27,1.21,2.05,3.57
MSTRG.1015,0.89,3.84,0.0,1.95,0.35,3.4,2.1,6.86,3.49,3.25
MSTRG.1019,43.89,42.03,0.87,15.08,6.68,68.77,29.79,315.5,117.94,34.78
MSTRG.102,111.62,497.16,769.15,0.38,353.94,622.24,367.06,568.13,280.61,244.92
MSTRG.1022,0.76,0.83,0.98,0.39,0.18,0.96,0.68,3.47,1.98,0.0
MSTRG.1024,0.0,4.85,0.78,3.93,0.38,0.65,16.32,3.1,2.48,0.2
MSTRG.10251,0.08,0.36,0.42,0.23,0.05,0.35,0.45,0.4,0.3,0.91
MSTRG.1026,2.93,1.96,3.1,2.33,2.06,2.8,2.02,1.47,2.4,1.28
MSTRG.1029,7.48,8.79,12.84,7.89,12.1,7.57,5.63,6.42,10.06,5.29
MSTRG.1030,0.15,4.75,11.65,0.32,5.74,0.14,0.0,4.93,5.73,0.48
MSTRG.1032,0.0,0.0,0.0,0.0,0.06,0.07,4.96,0.06,0.0,0.0
MSTRG.1033,4.68,9.63,7.05,6.72,8.94,13.67,8.97,8.57,12.9,10.44
MSTRG.1034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39
MSTRG.1035,0.0,0.0,0.47,0.0,0.3,0.55,0.74,1.45,0.0,0.36
MSTRG.1036,0.7,1.54,0.0,0.87,1.72,0.0,1.16,4.53,0.0,1.89
MSTRG.1037,283.88,108.59,105.03,139.46,194.12,113.72,72.1,87.09,82.17,113.27
MSTRG.1038,0.0,0.0,0.0,43.73,6.31,25.01,0.21,20.12,0.0,0.21
MSTRG.10380,1.73,1.51,3.03,0.48,1.51,0.51,0.85,4.42,0.86,1.98
MSTRG.1039,18.38,15.05,30.58,33.62,42.57,13.23,24.34,21.25,16.28,11.47
MSTRG.1040,8.85,19.31,11.69,9.93,24.95,39.08,12.61,19.91,15.67,30.71
MSTRG.1041,1.82,9.46,16.54,10.93,1.56,0.24,12.86,6.8,6.08,0.97
MSTRG.1042,0.23,42.69,0.06,3.96,2.69,0.13,36.55,46.73,6.75,45.75
MSTRG.1044,33.42,0.07,19.47,15.92,64.13,16.18,18.99,2.46,11.11,20.16
MSTRG.1045,136.93,121.01,64.36,62.5,118.05,136.72,77.37,85.27,96.04,127.24
MSTRG.1047,16.41,14.26,51.42,48.17,25.78,11.8,11.37,12.15,21.77,4.98
MSTRG.1048,72.04,8.75,0.29,11.17,8.48,3.49,10.79,3.9,3.4,34.52
MSTRG.1049,16.43,8.35,0.25,0.99,0.67,4.36,5.98,10.92,7.49,11.23
MSTRG.1050,0.18,1.14,1.39,0.5,0.15,0.73,0.27,0.11,1.01,0.67
MSTRG.10500,1.16,1.09,1.31,0.93,0.98,1.29,0.82,1.2,1.02,0.83
MSTRG.10501,3.17,3.21,2.13,1.32,2.27,4.37,1.71,2.56,2.25,3.5
MSTRG.1051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0
MSTRG.1052,1.06,3.62,0.88,4.63,1.55,2.55,1.07,5.11,4.53,0.0
MSTRG.10527,2.12,1.71,1.03,0.8,0.97,3.88,2.1,1.53,1.29,2.02
MSTRG.1054,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSTRG.1055,880.83,1602.58,2199.77,1684.08,2460.46,1726.06,1427.49,1572.97,1440.52,1471.76
MSTRG.10558,3.97,2.36,0.7,1.02,1.21,3.59,4.56,3.02,0.62,1.97
MSTRG.1056,9.04,19.19,11.81,14.34,23.56,12.9,13.68,10.02,11.97,9.91
MSTRG.1057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
MSTRG.1058,46.34,46.57,61.28,56.43,65.78,48.15,38.02,36.71,37.24,39.82
MSTRG.1059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04
MSTRG.106,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2.47,8.14
MSTRG.1060,0.19,0.0,0.0,0.63,2.2,3.79,3.54,0.0,1.96,1.11
MSTRG.1061,51.17,13.04,7.58,8.19,10.72,26.44,16.58,34.86,19.47,24.9
MSTRG.1062,2.47,2.85,3.26,1.17,0.4,3.42,2.71,2.89,4.82,4.94
MSTRG.1063,2.15,2.83,4.28,2.51,2.27,2.2,2.21,2.13,1.08,3.55
MSTRG.10637,1.07,0.53,0.26,0.17,0.26,1.23,0.54,0.65,0.45,0.88
MSTRG.1064,0.0,0.0,3.8,0.3,1.17,1.17,1.63,2.81,0.98,0.0
MSTRG.10644,1.91,2.05,0.77,1.27,0.37,3.01,3.76,3.12,2.19,1.2
MSTRG.1065,0.12,0.4,1.2,0.75,1.02,1.29,2.26,1.26,1.1,1.24
MSTRG.10654,0.52,0.55,0.54,0.55,0.97,0.73,0.55,0.73,0.61,0.46
MSTRG.1066,0.8,0.38,0.53,0.6,1.48,1.02,1.82,2.13,1.15,1.09
MSTRG.1067,0.18,0.34,0.12,0.0,0.27,0.05,0.0,0.0,0.0,0.37
MSTRG.1068,0.8,0.86,1.2,0.69,2.99,0.38,4.06,2.57,2.53,2.04
MSTRG.1069,0.73,0.69,0.94,0.5,3.2,1.33,2.49,2.04,2.52,2.46
MSTRG.10693,0.22,0.5,2.45,0.52,1.0,1.01,0.71,1.04,1.79,0.55
MSTRG.107,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.57,0.0
MSTRG.1070,0.09,0.32,1.13,0.08,0.92,0.57,1.2,0.91,1.02,0.43
MSTRG.1071,2.83,3.55,3.78,0.8,6.28,4.61,0.0,5.48,3.89,4.36
MSTRG.1072,5.23,0.76,1.24,5.48,8.73,5.78,1.55,2.92,2.91,0.83
MSTRG.1073,3.71,0.0,0.0,0.72,2.13,0.0,1.35,0.0,1.59,1.87
MSTRG.10730,4.79,3.68,0.99,1.11,2.03,4.43,3.6,2.84,1.86,3.41
MSTRG.1074,7.66,12.81,15.21,8.99,15.19,11.21,5.85,6.8,8.04,9.04
MSTRG.1075,2.36,2.34,7.74,7.4,4.12,5.99,1.31,7.09,3.22,5.5
MSTRG.10756,2.04,0.19,0.06,0.24,0.19,0.17,0.03,0.09,0.21,0.38
MSTRG.1077,0.46,0.67,0.0,0.0,0.53,0.2,0.21,0.52,0.32,0.0
MSTRG.1078,0.39,0.8,0.41,0.58,0.81,0.42,1.48,0.44,0.85,0.49
MSTRG.1079,3.27,5.2,3.97,0.76,0.73,5.31,4.42,5.16,3.97,0.73
MSTRG.108,2.39,2.67,7.47,2.58,7.39,8.96,4.46,4.16,5.44,4.58
MSTRG.1080,58.1,60.06,57.72,40.24,54.67,99.22,72.91,69.83,66.27,63.34
MSTRG.1082,14.29,15.68,7.69,17.45,5.66,10.9,7.51,22.2,15.3,15.75
MSTRG.10821,0.15,1.23,1.65,0.45,0.89,0.87,0.55,0.55,0.68,0.57
MSTRG.1083,16.14,17.64,18.24,18.36,22.29,16.27,11.99,8.27,15.1,15.07
MSTRG.1085,1.07,0.0,7.77,21.86,2.99,5.29,1.57,6.94,1.22,1.31
MSTRG.1086,67.68,73.48,79.42,155.67,100.16,47.85,72.61,133.22,94.71,70.53
MSTRG.1087,0.65,1.2,0.31,2.17,1.03,1.98,0.85,1.08,0.51,2.74
MSTRG.1088,0.24,2.84,2.65,4.73,1.54,1.15,1.77,5.79,5.55,3.87
MSTRG.1089,3.52,6.55,3.14,0.25,3.67,0.65,0.0,2.44,3.67,1.69
MSTRG.109,24.02,43.98,34.84,31.36,48.01,50.65,23.9,22.12,34.37,23.84
MSTRG.1090,2.13,0.0,0.05,0.0,5.11,1.56,0.07,0.0,3.27,1.86
MSTRG.1091,54.02,51.89,15.34,20.82,8.33,66.66,34.77,37.4,38.28,48.08
MSTRG.1093,18.07,22.7,36.49,32.23,31.54,29.92,26.6,25.31,29.77,26.94
MSTRG.1094,57.09,32.55,74.72,1116.68,58.31,88.93,85.2,54.28,239.6,34.65
MSTRG.1095,4.86,2.92,2.92,52.41,1.14,2.45,6.27,5.44,4.94,2.11
MSTRG.1096,3.46,1.41,1.44,39.37,6.93,1.55,0.81,10.25,2.93,9.73
MSTRG.1097,14.99,2.95,3.81,23.18,2.53,12.21,2.75,4.89,2.71,1.24
MSTRG.1098,18.94,10.96,18.93,451.31,7.15,15.84,33.1,10.63,37.48,7.57
MSTRG.1099,16.32,14.37,39.44,459.13,39.22,44.58,57.97,49.16,22.88,22.53
MSTRG.11,1.95,4.51,5.28,8.63,1.75,0.72,1.28,6.71,2.63,0.38
MSTRG.110,991.22,903.07,137.29,696.73,741.56,791.16,551.63,2.44,1241.42,281.22
MSTRG.1100,4.63,2.27,8.47,30.92,8.1,10.39,11.9,3.18,9.73,7.1
MSTRG.1101,3.95,3.67,4.18,6.2,4.64,2.42,2.57,1.95,3.27,2.77
MSTRG.11014,4.86,3.36,0.35,1.08,2.05,2.39,2.34,5.6,2.61,5.04
MSTRG.1102,7.69,18.45,28.15,17.54,17.21,9.53,19.33,12.9,7.51,17.86
MSTRG.1103,0.52,4.15,9.71,3.94,9.58,6.4,4.45,6.98,6.71,11.12
MSTRG.11037,12.09,15.59,3.55,5.18,6.5,11.88,12.61,9.28,14.92,21.76
MSTRG.1104,0.0,2.11,6.62,2.55,7.06,1.75,4.22,3.1,3.59,3.11
MSTRG.1105,4.79,5.46,8.4,3.44,16.0,23.27,31.12,22.73,8.15,9.5
MSTRG.1106,2.43,1.8,4.45,3.76,2.27,2.14,4.61,4.02,1.96,0.96
MSTRG.11062,2.03,2.39,1.25,1.77,1.04,1.2,0.37,1.17,1.3,0.98
MSTRG.11069,1.93,0.75,0.0,0.35,0.0,1.52,0.65,0.93,0.65,0.0
MSTRG.11074,4.82,0.75,0.68,0.19,1.17,3.01,1.69,2.06,1.31,0.38
MSTRG.1108,5.87,2.14,3.34,2.08,4.29,8.23,4.71,2.18,2.8,3.92
MSTRG.1109,6.87,19.65,33.29,16.87,30.06,16.37,14.34,8.87,9.67,15.24
MSTRG.111,92.99,93.54,49.26,43.23,65.96,109.02,87.68,122.61,70.98,111.73
MSTRG.1111,19.62,30.21,26.95,24.74,30.13,21.5,11.97,10.73,15.4,13.65
MSTRG.1112,3.08,0.27,1.9,0.0,0.71,0.0,0.0,0.0,0.86,1.71
MSTRG.1113,0.0,1.47,0.9,0.36,0.0,1.63,0.0,0.12,0.0,0.0
MSTRG.1114,0.0,9.25,12.42,4.62,0.0,5.0,0.0,0.0,0.0,8.46
MSTRG.1115,0.44,2.29,4.41,1.82,5.58,6.92,4.39,5.87,3.12,5.79
MSTRG.1116,13.14,12.11,11.62,10.34,22.46,27.51,52.31,28.54,14.04,26.95
MSTRG.1118,183.35,181.35,176.77,134.85,168.53,154.25,101.71,99.68,151.67,156.47
MSTRG.1119,40.53,13.14,19.24,102.54,21.82,6.99,9.25,44.58,15.66,11.15
MSTRG.1122,3.45,2.67,1.37,1.85,0.63,6.01,5.94,6.3,6.68,4.13
MSTRG.1123,5.74,5.61,5.63,6.42,3.77,3.31,2.45,2.48,3.62,4.98
MSTRG.1124,18.48,23.9,35.1,23.54,27.81,9.46,13.74,15.36,10.24,22.44
MSTRG.11245,1.13,1.25,0.23,0.37,0.27,0.91,1.19,1.58,1.44,1.79
MSTRG.11256,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,1.63
MSTRG.11257,0.08,1.13,1.9,0.27,0.65,0.39,0.96,0.72,0.53,1.32
MSTRG.1126,0.06,15.69,30.58,29.5,15.35,10.85,22.17,15.24,15.18,0.06
MSTRG.11265,0.0,0.37,0.19,0.0,0.74,0.0,1.6,2.33,0.51,0.58
MSTRG.1127,1.95,2.27,1.82,2.58,3.19,2.75,3.1,0.37,0.78,0.9
